k_number,decision_date,date_received,product_code,applicant,device_name,decision_description,clearance_type,advisory_committee_description,country_code,state,expedited_review_flag,third_party_flag,statement_or_summary,pdf_url
K220385,2022-08-12,2022-02-10,ONF,"Beijing Globalipl Development Co., Ltd.",Intense Pulsed Light Equipment,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220385
K213558,2022-03-08,2021-11-08,ONF,"Ulike Co., Ltd.",IPL Hair Removal Device,Substantially Equivalent,Traditional,"General, Plastic Surgery",KR,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213558
K211368,2021-10-04,2021-05-04,ONF,"Shenzhen Mywin Technology Co., Ltd.","IPL Hair Remover, Model: G993, G996, G998 and G885",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211368
K210119,2021-05-21,2021-01-19,ONF,"Shenzhen Boyuan Intelligent Electronic Technology Co., Ltd.",IPL Hair Removal Device (Model: KCA423),Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Statement,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210119
K200746,2020-05-15,2020-03-23,ONF,"Shanghai Apolo Medical Technology Co., Ltd.",IPL Treatment Systems,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200746
K193328,2020-03-25,2019-12-02,ONF,"Beijing Globalipl Development Co., Ltd.",IPL + Diode Laser Machine,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193328
K193072,2020-03-05,2019-11-04,ONF,"Luvo Medical Technologies, Inc.",Lucent : IPL,Substantially Equivalent,Traditional,"General, Plastic Surgery",CA,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193072
K193500,2020-01-16,2019-12-17,GEX,"Lumenis, Ltd.",Stellar M22 for Intense Pulsed Light (IPL) and Laser System,Substantially Equivalent,Special,"General, Plastic Surgery",IL,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193500
K192521,2019-12-06,2019-09-13,ONF,"Shangdong Huamei Technology Co., Ltd.",Intense Pulsed Light Treatment System,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192521
K161286,2016-08-04,2016-05-09,ONF,"Beijing Adss Development Co., Ltd.",IPL Therapy Machine,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161286
K150282,2015-05-27,2015-02-05,ONF,"Shaser, Inc.",Shaser Skin Beauty Intense Pulsed Light System Family for Acne,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150282
K142924,2015-02-13,2014-10-08,GEX,"Shaser, Inc.","Shaser Skin Beauty SkinREJUV Intense, Pulsed Light System Family",Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K142924
K140668,2014-12-19,2014-03-18,ONF,Global Medical Technology S.L.,PLATINUMGMT IPL SYSTEM CLOUD,Substantially Equivalent,Traditional,"General, Plastic Surgery",ES,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K140668
K141583,2014-07-22,2014-06-13,ONF,"Shaser, Inc.",SHASER SKIN BEAUTY INTENSE PULSED LIGHT SYSTEM FAMILY,Substantially Equivalent,Special,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K141583
K131712,2014-05-30,2013-06-11,ONF,"Ybk Investment, Inc.",A-TONE IPL SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K131712
K123860,2013-04-02,2012-12-14,ONF,"Inmode MD , Ltd.",INMODE SR IPL DEVICE,Substantially Equivalent,Traditional,"General, Plastic Surgery",IL,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K123860
K123435,2013-02-11,2012-11-07,ONF,"Beijing Sincoheren S&T Development Co, Ltd.",IPL THERAPY SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K123435
K122995,2013-01-22,2012-09-26,ONF,"Beijing Kes Biology Technology Co., Ltd.",INTENSE PULSED LIGHT (IPL) SYSTEMS,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K122995
K123168,2012-12-20,2012-10-09,GEX,Quanta System Spa,Q-PLUS T+ IPL LASER SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",IT,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K123168
K121515,2012-06-05,2012-05-22,ONF,"Solta Medical, Inc.",ISOLAZ 2 INTENSE PULSED LIGHT SYSTEM,Substantially Equivalent,Special,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K121515
K111350,2011-09-29,2011-05-13,ONF,"Medicam, Inc.","MEDICAM EVOLUX, EVOSTAR, EVOLIGHT AND EVOLASE PULSED LIGHT SYSTEM",Substantially Equivalent,Traditional,"General, Plastic Surgery",CA,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K111350
K103560,2011-05-18,2010-12-03,ONF,"Shaser, Inc.",SHASER IPL HAIR REMOVAL SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K103560
K110304,2011-04-08,2011-02-02,GEX,"Sandstone Medical Technologies, LLC",APEX ER. YAG / IPL SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,AL,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K110304
K101901,2011-03-08,2010-07-08,ONF,Beijing Starlight Science & Technology Development,IPL THERAPY SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K101901
K093627,2011-01-18,2009-11-23,ONF,"Shanghai Apolo Medical Technologies Co., Ltd.","IPULSELIGHT IPL SYSTEM, MODELS HS 300C AND HS 650",Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K093627
K102857,2011-01-14,2010-09-29,ONF,"Ahwon Medi Instrument Co., Ltd.",AHWON'S IPL SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NJ,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K102857
K091664,2009-11-16,2009-06-09,ONF,"Shenzhen Gsd Tech Co., Ltd.","GSD INTENSE PULSED LIGHT SYSTEM, MODELS: GP666C4, GP666C",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K091664
K082825,2009-02-06,2008-09-25,GEX,"Energist, Ltd.",ENERGIST ULTRAPLUS VARIABLE PULSED LIGHT (VPL) SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",GB,,,N,Statement,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K082825
K083915,2009-01-29,2008-12-30,GEX,"Advanced Technology Laser Co., Ltd.","ANGELITE FAMILY OF INTENSE PULSED LIGHT SYSTEMS, MODELS ANGELITE-DDC AND ANGELITE-SDC",Substantially Equivalent,Traditional,"General, Plastic Surgery",CN,,,Y,Statement,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083915
K082876,2008-11-10,2008-09-29,GEX,"Sharplight Technologies, Ltd.",BEAMAX/ FORMAX PULSED LIGHT DEVICE FAMILY,Substantially Equivalent,Traditional,"General, Plastic Surgery",IL,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K082876
K082033,2008-07-31,2008-07-17,GEX,"Global USA Distribution, LLC",NANNOLIGHT INTENSE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MN,,Y,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K082033
K081219,2008-06-30,2008-04-30,GEX,"Sandstone Medical Technologies, LLC",APOLLO MINI IPL SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,AL,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K081219
K073477,2008-05-09,2007-12-11,GEX,Photonova Ofsweden AB,PHOTONOVA FAMILY OF PULSED LIGHT SYSTEMS,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K073477
K063427,2007-07-25,2006-11-13,GEX,Lynton Lasers Limited,LUMINA INTENSE PULSED LIGHT (& LASER) SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",GB,,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K063427
K063800,2007-02-05,2006-12-22,GEX,Candela Corp.,CANDELA FLUORESCENT PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K063800
K062721,2006-11-21,2006-09-12,GEX,"Greenton (London) , Ltd.",GREENTON ECOLITE IPL SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,FL,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K062721
K062312,2006-10-16,2006-08-08,GEX,General Project S.R.L.,AXIOM PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CT,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K062312
K051442,2006-05-24,2005-06-02,GEX,"Cynosure, Inc.",PHOTOSILK PLUS PULSED LIGHT SYSTEM AND LASER ATTACHMENT,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051442
K052336,2005-10-11,2005-08-26,GEX,"Amjet Distribution, LLC",SPECTRAQUATTRO PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MN,,Y,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K052336
K051508,2005-10-05,2005-06-07,GEX,General Project S.R.L.,MED FLASH II INTENSE PULSED LIGHT SYSTEM.,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051508
K043032,2005-07-19,2004-11-03,GEX,"Europro, Inc.",DEALIGHT IPL,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K043032
K041554,2005-04-27,2004-06-10,GEX,Aesthera Corporation,AIP INTENSE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K041554
K050047,2005-03-31,2005-01-10,GEX,"Cutera, Inc.",CUTERA OPTIONAL PULSED LIGHT HAND PIECE FAMILY,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K050047
K041086,2005-01-13,2004-04-26,GEX,"Palomar Medical Products, Inc.",PALOMAR STARLUX PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,NC,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K041086
K043319,2004-12-17,2004-12-02,GEX,"Novalis Medical, LLC",CLAREON AND SOLARUS PULSED LIGHT DEVICES AND ACCESSORIES,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,FL,,Y,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K043319
